Erros,Acertos,NINT,TAPR,Épocas,Acurácia,EMQ
5,22,5,0.9,200000,81.48%,0.000579718
5,22,6,0.9,200000,81.48%,0.000599899
6,21,7,0.9,200000,77.78%,0.000648324
6,21,8,0.9,200000,77.78%,0.0007343
5,22,9,0.9,200000,81.48%,0.000607872
5,22,10,0.9,200000,81.48%,0.000625273
5,22,5,0.8,200000,81.48%,0.000574203
5,22,5,0.7,200000,81.48%,0.000568486
5,22,5,0.7,250000,81.48%,0.000579615
5,22,5,0.7,300000,81.48%,0.000582903
5,22,5,0.7,350000,81.48%,0.000599497
5,22,5,0.7,450000,81.48%,0.000610972
